5.603942745229964828e+00 2.530000000000000000e+02
5.703942745229964473e+00 2.530000000000000000e+02
5.803942745229964117e+00 1.820000000000000000e+02
5.903942745229964650e+00 1.300000000000000000e+02
6.003942745229964295e+00 9.800000000000000000e+01
6.103942745229964828e+00 7.600000000000000000e+01
6.203942745229964473e+00 5.000000000000000000e+01
6.303942745229964117e+00 3.900000000000000000e+01
6.403942745229964650e+00 2.900000000000000000e+01
6.503942745229964295e+00 2.100000000000000000e+01
6.603942745229964828e+00 1.400000000000000000e+01
6.703942745229964473e+00 1.100000000000000000e+01
6.803942745229964117e+00 1.000000000000000000e+01
6.903942745229964650e+00 8.000000000000000000e+00
7.003942745229964295e+00 7.000000000000000000e+00
7.103942745229964828e+00 7.000000000000000000e+00
7.203942745229964473e+00 7.000000000000000000e+00
7.303942745229964117e+00 4.000000000000000000e+00
7.403942745229964650e+00 4.000000000000000000e+00
7.503942745229964295e+00 3.000000000000000000e+00
7.603942745229964828e+00 2.000000000000000000e+00
